Lat,Long,Alt
44.4444,-92.2222,700
44.4444,-92.2222,700
44.4444,-92.2222,700
44.4444,-92.2222,700
44.4444,-92.2222,700
44.4444,-92.2222,2300
44.4444,-92.2222,3900
44.4444,-92.2222,5500
44.4444,-92.2222,7100
44.4444,-92.2222,8700
44.4444,-92.2222,10300
44.4444,-92.2222,11900
44.4444,-92.2222,13500
44.4444,-92.2222,15100
44.4444,-92.2222,16700
44.4444,-92.2222,18300
44.4444,-92.2222,19900
44.4444,-92.2222,21500
44.4444,-92.2222,23100
44.4444,-92.2222,24700
44.4444,-92.2222,26300
44.4444,-92.2222,27900
44.4444,-92.2222,29500
44.4444,-92.2222,31100
44.4444,-92.2222,32700
44.4444,-92.2222,34300
44.4444,-92.2222,35900
44.4444,-92.2222,37500
44.4444,-92.2222,39100
44.4444,-92.2222,40700
44.4444,-92.2222,42300
44.4444,-92.2222,43900
44.4444,-92.2222,45500
44.4444,-92.2222,47100
44.4444,-92.2222,48700
44.4444,-92.2222,50300
44.4444,-92.2222,51900
44.4444,-92.2222,53500
44.4444,-92.2222,55100
44.4444,-92.2222,56700
44.4444,-92.2222,58300
44.4444,-92.2222,59900
44.4444,-92.2222,61500
44.4444,-92.2222,63100
44.4444,-92.2222,64700
44.4444,-92.2222,66300
44.4444,-92.2222,67900
44.4444,-92.2222,69500
44.4444,-92.2222,71100
44.4444,-92.2222,72700
44.4444,-92.2222,74300
44.4444,-92.2222,75900
44.4444,-92.2222,77500
44.4444,-92.2222,79100
44.4444,-92.2222,80700
44.4444,-92.2222,82300
44.4444,-92.2222,83900
44.4444,-92.2222,85500
44.4444,-92.2222,87100
44.4444,-92.2222,88700
44.4444,-92.2222,90300
44.4444,-92.2222,91900
44.4444,-92.2222,93500
44.4444,-92.2222,95100
44.4444,-92.2222,96700
44.4444,-92.2222,98300
44.4444,-92.2222,98316.666
44.4444,-92.2222,98333.332
44.4444,-92.2222,98349.998
44.4444,-92.2222,98366.664
44.4444,-92.2222,98383.33
44.4444,-92.2222,98399.996
44.4444,-92.2222,98416.662
44.4444,-92.2222,98433.328
44.4444,-92.2222,98449.994
44.4444,-92.2222,98466.66
44.4444,-92.2222,98483.326
44.4444,-92.2222,98499.992
44.4444,-92.2222,98516.658
44.4444,-92.2222,98533.324
44.4444,-92.2222,98549.99
44.4444,-92.2222,98566.656
44.4444,-92.2222,98583.322
44.4444,-92.2222,98599.988
44.4444,-92.2222,98616.654
44.4444,-92.2222,98633.32
44.4444,-92.2222,98649.986
44.4444,-92.2222,98666.652
44.4444,-92.2222,98683.318
44.4444,-92.2222,98699.984
44.4444,-92.2222,98716.65
44.4444,-92.2222,98733.316
44.4444,-92.2222,98749.982
44.4444,-92.2222,98766.648
44.4444,-92.2222,98783.314
44.4444,-92.2222,98799.98
44.4444,-92.2222,98816.646
44.4444,-92.2222,98833.312
44.4444,-92.2222,98849.978
44.4444,-92.2222,98866.644
44.4444,-92.2222,98883.31
44.4444,-92.2222,98899.976
44.4444,-92.2222,98916.642
44.4444,-92.2222,98933.308
44.4444,-92.2222,98949.974
44.4444,-92.2222,98966.64
44.4444,-92.2222,98983.306
44.4444,-92.2222,98999.972
44.4444,-92.2222,99016.638
44.4444,-92.2222,99033.304
44.4444,-92.2222,99049.97
44.4444,-92.2222,99066.636
44.4444,-92.2222,99083.302
44.4444,-92.2222,99099.968
44.4444,-92.2222,99116.634
44.4444,-92.2222,99133.3
44.4444,-92.2222,99149.966
44.4444,-92.2222,99166.632
44.4444,-92.2222,99183.298
44.4444,-92.2222,99199.964
44.4444,-92.2222,99216.63
44.4444,-92.2222,99233.296
44.4444,-92.2222,99249.962
44.4444,-92.2222,99266.628
44.4444,-92.2222,99283.294
44.4444,-92.2222,99299.96
44.4444,-92.2222,99316.626
44.4444,-92.2222,99333.292
44.4444,-92.2222,99349.958
44.4444,-92.2222,99366.624
44.4444,-92.2222,99383.29
44.4444,-92.2222,99399.956
44.4444,-92.2222,99416.622
44.4444,-92.2222,99433.288
44.4444,-92.2222,99449.954
44.4444,-92.2222,99466.62
44.4444,-92.2222,99483.286
44.4444,-92.2222,99499.952
44.4444,-92.2222,99516.618
44.4444,-92.2222,99533.284
44.4444,-92.2222,99549.95
44.4444,-92.2222,99566.616
44.4444,-92.2222,99583.282
44.4444,-92.2222,99599.948
44.4444,-92.2222,99616.614
44.4444,-92.2222,99633.28
44.4444,-92.2222,99649.946
44.4444,-92.2222,99666.612
44.4444,-92.2222,99683.278
44.4444,-92.2222,99699.944
44.4444,-92.2222,99716.61
44.4444,-92.2222,99733.276
44.4444,-92.2222,99749.942
44.4444,-92.2222,99766.608
44.4444,-92.2222,99783.274
44.4444,-92.2222,99799.94
44.4444,-92.2222,99816.606
44.4444,-92.2222,99833.272
44.4444,-92.2222,99849.938
44.4444,-92.2222,99866.604
44.4444,-92.2222,99883.27
44.4444,-92.2222,99899.936
44.4444,-92.2222,99916.602
44.4444,-92.2222,99933.268
44.4444,-92.2222,99949.934
44.4444,-92.2222,99966.6
44.4444,-92.2222,99983.266
44.4444,-92.2222,99999.932
44.4444,-92.2222,100016.598
44.4444,-92.2222,100033.158
44.4444,-92.2222,100049.618
44.4444,-92.2222,100065.978
44.4444,-92.2222,100082.238
44.4444,-92.2222,100098.398
44.4444,-92.2222,100114.458
44.4444,-92.2222,100130.418
44.4444,-92.2222,100146.278
44.4444,-92.2222,100162.038
44.4444,-92.2222,100177.698
44.4444,-92.2222,100193.258
44.4444,-92.2222,100208.718
44.4444,-92.2222,100224.078
44.4444,-92.2222,100239.338
44.4444,-92.2222,100254.498
44.4444,-92.2222,100269.558
44.4444,-92.2222,100284.518
44.4444,-92.2222,100299.378
44.4444,-92.2222,100314.088
44.4444,-92.2222,100328.688
44.4444,-92.2222,100343.288
44.4444,-92.2222,100357.888
44.4444,-92.2222,100372.488
44.4444,-92.2222,100387.088
44.4444,-92.2222,100401.688
44.4444,-92.2222,100416.288
44.4444,-92.2222,100430.888
44.4444,-92.2222,100445.488
44.4444,-92.2222,100460.088
44.4444,-92.2222,100474.688
44.4444,-92.2222,100489.288
44.4444,-92.2222,100503.888
44.4444,-92.2222,100518.488
44.4444,-92.2222,100533.088
44.4444,-92.2222,100547.688
44.4444,-92.2222,100562.288
44.4444,-92.2222,100576.888
44.4444,-92.2222,100591.488
44.4444,-92.2222,100605.488
44.4444,-92.2222,100619.488
44.4444,-92.2222,100633.488
44.4444,-92.2222,100647.488
44.4444,-92.2222,100661.488
44.4444,-92.2222,100675.488
44.4444,-92.2222,100689.488
44.4444,-92.2222,100703.488
44.4444,-92.2222,100717.488
44.4444,-92.2222,100731.488
44.4444,-92.2222,100745.488
44.4444,-92.2222,100759.488
44.4444,-92.2222,100773.488
44.4444,-92.2222,100787.488
44.4444,-92.2222,100801.488
44.4444,-92.2222,100815.488
44.4444,-92.2222,100829.488
44.4444,-92.2222,100843.488
44.4444,-92.2222,100857.488
44.4444,-92.2222,100870.988
44.4444,-92.2222,100884.488
44.4444,-92.2222,100897.988
44.4444,-92.2222,100911.488
44.4444,-92.2222,100924.988
44.4444,-92.2222,100938.488
44.4444,-92.2222,100951.988
44.4444,-92.2222,100965.488
44.4444,-92.2222,100978.988
44.4444,-92.2222,100992.488
44.4444,-92.2222,101005.988
44.4444,-92.2222,101019.488
44.4444,-92.2222,101032.988
44.4444,-92.2222,101046.488
44.4444,-92.2222,101059.988
44.4444,-92.2222,101073.488
44.4444,-92.2222,101086.988
44.4444,-92.2222,101100.488
44.4444,-92.2222,101113.988
44.4444,-92.2222,101127.488
44.4444,-92.2222,101140.988
44.4444,-92.2222,101154.488
44.4444,-92.2222,101167.988
44.4444,-92.2222,101181.488
44.4444,-92.2222,101194.988
44.4444,-92.2222,101208.488
44.4444,-92.2222,101221.988
44.4444,-92.2222,101235.488
44.4444,-92.2222,101248.988
44.4444,-92.2222,101262.488
44.4444,-92.2222,101275.988
44.4444,-92.2222,101289.488
